time_s,phase,x,y,z,vx,vy,vz,speed,wp_x,wp_y,wp_z,v_cmd_x,v_cmd_y,v_cmd_z
0.00,TRACK_WP_1,1.729810,-0.329607,-0.077637,0.000000,0.000000,0.000000,0.000000,1.371985,-1.486549,0.925487,-0.773666,-2.501469,2.168893
0.01,TRACK_WP_1,1.729810,-0.329607,-0.077518,-0.000388,-0.000389,0.061216,0.061218,1.371985,-1.486549,0.925487,-0.773704,-2.501590,2.168739
0.02,TRACK_WP_1,1.729802,-0.329615,-0.076615,-0.001796,-0.001774,0.131551,0.131576,1.371985,-1.486549,0.925487,-0.773973,-2.502502,2.167591
0.03,TRACK_WP_1,1.729765,-0.329651,-0.074931,-0.006355,-0.006204,0.210751,0.210938,1.371985,-1.486549,0.925487,-0.774439,-2.504188,2.165476
0.04,TRACK_WP_1,1.729660,-0.329752,-0.072416,-0.015658,-0.015048,0.295864,0.296660,1.371985,-1.486549,0.925487,-0.775051,-2.506681,2.162371
0.05,TRACK_WP_1,1.729434,-0.329968,-0.069025,-0.030765,-0.029027,0.384708,0.387027,1.371985,-1.486549,0.925487,-0.775730,-2.509997,2.158277
0.06,TRACK_WP_1,1.729025,-0.330349,-0.064735,-0.052030,-0.048119,0.474052,0.479320,1.371985,-1.486549,0.925487,-0.776377,-2.514136,2.153220
0.07,TRACK_WP_1,1.728373,-0.330946,-0.059553,-0.079543,-0.072050,0.562421,0.572569,1.371985,-1.486549,0.925487,-0.776880,-2.519070,2.147264
0.08,TRACK_WP_1,1.727414,-0.331805,-0.053494,-0.113351,-0.100515,0.649092,0.666538,1.371985,-1.486549,0.925487,-0.777120,-2.524768,2.140474
0.09,TRACK_WP_1,1.726085,-0.332970,-0.046579,-0.153488,-0.133208,0.733617,0.761247,1.371985,-1.486549,0.925487,-0.776970,-2.531199,2.132920
0.10,TRACK_WP_1,1.724323,-0.334482,-0.038831,-0.199974,-0.169822,0.815652,0.856806,1.371985,-1.486549,0.925487,-0.776301,-2.538335,2.124668
