time_s,phase,x,y,z,vx,vy,vz,speed,wp_x,wp_y,wp_z,v_cmd_x,v_cmd_y,v_cmd_z
0.00,TRACK_WP_1,1.240959,-0.888889,-1.386887,0.000000,0.000000,0.000000,0.000000,0.800000,-0.800000,0.900000,-0.113517,0.022883,0.588719
0.02,TRACK_WP_1,1.240959,-0.888889,-1.386739,0.000000,0.000000,0.076166,0.076166,0.800000,-0.800000,0.900000,-0.113524,0.022884,0.588718
0.04,TRACK_WP_1,1.240959,-0.888889,-1.385630,-0.000017,0.000017,0.158551,0.158551,0.800000,-0.800000,0.900000,-0.113577,0.022895,0.588707
0.06,TRACK_WP_1,1.240958,-0.888888,-1.383629,-0.000152,0.000118,0.244346,0.244346,0.800000,-0.800000,0.900000,-0.113673,0.022914,0.588688
0.08,TRACK_WP_1,1.240955,-0.888886,-1.380760,-0.000769,0.000453,0.329166,0.329168,0.800000,-0.800000,0.900000,-0.113810,0.022941,0.588660
0.10,TRACK_WP_1,1.240939,-0.888878,-1.377050,-0.002614,0.001147,0.411845,0.411855,0.800000,-0.800000,0.900000,-0.113984,0.022975,0.588625
0.12,TRACK_WP_1,1.240895,-0.888862,-1.372530,-0.006635,0.002241,0.489876,0.489926,0.800000,-0.800000,0.900000,-0.114191,0.023015,0.588584
0.14,TRACK_WP_1,1.240796,-0.888832,-1.367259,-0.013587,0.003770,0.561258,0.561435,0.800000,-0.800000,0.900000,-0.114422,0.023059,0.588537
0.16,TRACK_WP_1,1.240611,-0.888784,-1.361309,-0.023682,0.005790,0.625614,0.626089,0.800000,-0.800000,0.900000,-0.114666,0.023105,0.588488
0.18,TRACK_WP_1,1.240311,-0.888714,-1.354750,-0.036583,0.008281,0.683186,0.684215,0.800000,-0.800000,0.900000,-0.114911,0.023152,0.588438
0.20,TRACK_WP_1,1.239870,-0.888617,-1.347648,-0.051624,0.011159,0.734456,0.736353,0.800000,-0.800000,0.900000,-0.115149,0.023198,0.588390
0.22,TRACK_WP_1,1.239272,-0.888490,-1.340062,-0.068023,0.014302,0.779995,0.783086,0.800000,-0.800000,0.900000,-0.115373,0.023241,0.588344
0.24,TRACK_WP_1,1.238506,-0.888330,-1.332049,-0.085024,0.017579,0.820390,0.824971,0.800000,-0.800000,0.900000,-0.115577,0.023281,0.588303
0.26,TRACK_WP_1,1.237570,-0.888138,-1.323655,-0.101986,0.020870,0.856214,0.862519,0.800000,-0.800000,0.900000,-0.115759,0.023317,0.588265
0.28,TRACK_WP_1,1.236466,-0.887913,-1.314924,-0.118409,0.024076,0.888006,0.896190,0.800000,-0.800000,0.900000,-0.115915,0.023348,0.588233
0.30,TRACK_WP_1,1.235203,-0.887656,-1.305894,-0.133939,0.027123,0.916257,0.926392,0.800000,-0.800000,0.900000,-0.116048,0.023374,0.588206
0.32,TRACK_WP_1,1.233790,-0.887371,-1.296599,-0.148341,0.029962,0.941402,0.953488,0.800000,-0.800000,0.900000,-0.116156,0.023395,0.588184
0.34,TRACK_WP_1,1.232239,-0.887058,-1.287066,-0.161481,0.032562,0.963821,0.977798,0.800000,-0.800000,0.900000,-0.116242,0.023412,0.588166
0.36,TRACK_WP_1,1.230564,-0.886720,-1.277322,-0.173298,0.034907,0.983846,0.999602,0.800000,-0.800000,0.900000,-0.116307,0.023425,0.588153
0.38,TRACK_WP_1,1.228777,-0.886360,-1.267388,-0.183784,0.036994,1.001757,1.019148,0.800000,-0.800000,0.900000,-0.116353,0.023435,0.588143
0.40,TRACK_WP_1,1.226892,-0.885981,-1.257286,-0.192970,0.038826,1.017798,1.036657,0.800000,-0.800000,0.900000,-0.116383,0.023441,0.588137
