time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,418.235880 ,66.898883 ,-44.965197 ,-6.282751 
500.000000 ,421.797120 ,66.893565 ,-2.667859 ,-5.013288 
1000.000000 ,421.089810 ,66.888247 ,59.570590 ,-4.215887 
1500.000000 ,422.251310 ,66.882928 ,-89.167663 ,-5.065544 
2000.000000 ,423.746050 ,66.877610 ,-2.975886 ,-3.921282 
2500.000000 ,418.809740 ,66.872291 ,45.231835 ,-4.594351 
3000.000000 ,422.547230 ,66.866973 ,-159.874030 ,-4.084017 
3500.000000 ,422.919260 ,66.861654 ,64.548431 ,-1.523659 
4000.000000 ,423.572510 ,66.856336 ,29.600553 ,-2.621661 
4500.000000 ,425.706290 ,66.851017 ,-97.091234 ,-3.276857 
5000.000000 ,416.551140 ,66.845699 ,-133.939450 ,-1.998546 
5500.000000 ,423.726880 ,66.840380 ,62.481521 ,0.268744 
6000.000000 ,421.790770 ,66.835062 ,4.567473 ,-0.910777 
6500.000000 ,417.470960 ,66.829744 ,-31.723229 ,0.180322 
7000.000000 ,421.943950 ,66.824425 ,-32.095000 ,1.122412 
7500.000000 ,420.035800 ,66.819107 ,107.329195 ,0.905133 
8000.000000 ,420.955270 ,66.813788 ,11.255677 ,1.496186 
8500.000000 ,423.989000 ,66.808470 ,-64.729546 ,2.892749 
9000.000000 ,422.352050 ,66.803151 ,3.213030 ,3.717564 
9500.000000 ,423.562610 ,66.797833 ,-9.889223 ,3.723678 
10000.000000 ,424.351350 ,66.792514 ,39.932839 ,3.940246 
10500.000000 ,421.073130 ,66.787196 ,14.413886 ,5.117441 
11000.000000 ,422.926690 ,66.781877 ,-4.346430 ,4.575521 
11500.000000 ,425.253780 ,66.776559 ,102.038865 ,5.378631 
12000.000000 ,424.451090 ,66.771240 ,-40.611393 ,5.461984 
12500.000000 ,422.412150 ,66.765922 ,-13.590821 ,5.592883 
13000.000000 ,418.652480 ,66.760604 ,5.233497 ,6.282572 
13500.000000 ,425.161780 ,66.755285 ,24.930442 ,7.544885 
14000.000000 ,422.529960 ,66.749967 ,-1.024991 ,6.115083 
14500.000000 ,425.403310 ,66.744648 ,-19.028813 ,5.915430 
15000.000000 ,425.394040 ,66.739330 ,-43.867622 ,5.741772 
15500.000000 ,422.735390 ,66.734011 ,-7.058539 ,6.606365 
16000.000000 ,422.237370 ,66.728693 ,-135.936556 ,7.192136 
16500.000000 ,419.392570 ,66.723374 ,17.240302 ,6.058273 
17000.000000 ,421.828980 ,66.718056 ,-54.448686 ,5.631065 
17500.000000 ,424.015250 ,66.712737 ,-26.595588 ,5.630950 
18000.000000 ,425.814570 ,66.707419 ,-53.267413 ,6.100836 
18500.000000 ,423.133630 ,66.702100 ,2.784378 ,6.162450 
19000.000000 ,426.788930 ,66.696782 ,82.683469 ,6.510404 
19500.000000 ,420.752020 ,66.691464 ,36.680202 ,5.941495 
20000.000000 ,425.429850 ,66.686145 ,1.511215 ,5.560883 
20500.000000 ,419.652170 ,66.680827 ,-93.140257 ,8.189948 
21000.000000 ,424.438340 ,66.675508 ,67.819019 ,7.943575 
21500.000000 ,423.729300 ,66.670190 ,148.433080 ,8.172281 
22000.000000 ,427.172640 ,66.664871 ,43.131439 ,9.082164 
22500.000000 ,424.225180 ,66.659553 ,-79.580206 ,8.428372 
23000.000000 ,423.169190 ,66.654234 ,-63.273398 ,9.227099 
23500.000000 ,424.455760 ,66.648916 ,63.573900 ,10.329980 
24000.000000 ,421.949100 ,66.643597 ,20.692351 ,9.947015 
24500.000000 ,423.875830 ,66.638279 ,-68.145688 ,10.090230 
25000.000000 ,424.322630 ,66.632960 ,58.459837 ,8.995938 
25500.000000 ,424.026670 ,66.627642 ,36.451563 ,10.322177 
26000.000000 ,422.273500 ,66.622324 ,-49.247694 ,11.057600 
26500.000000 ,423.417490 ,66.617005 ,56.724622 ,10.751797 
27000.000000 ,420.570970 ,66.611687 ,-40.940078 ,10.782595 
27500.000000 ,420.264080 ,66.606368 ,23.984328 ,10.497122 
28000.000000 ,425.620190 ,66.601050 ,141.856398 ,10.090385 
28500.000000 ,422.562810 ,66.595731 ,-65.207802 ,11.706923 
29000.000000 ,425.648570 ,66.590413 ,-41.278208 ,10.391910 
29500.000000 ,422.337030 ,66.585094 ,73.421776 ,11.176919 
30000.000000 ,422.320580 ,66.579776 ,136.306149 ,12.963604 
30500.000000 ,420.722770 ,66.574457 ,-72.861560 ,14.900744 
31000.000000 ,422.926330 ,66.569139 ,67.828465 ,14.381432 
31500.000000 ,423.942200 ,66.563820 ,60.474129 ,14.947173 
32000.000000 ,421.426540 ,66.558502 ,-13.000778 ,15.906822 
32500.000000 ,420.213570 ,66.553184 ,39.914662 ,16.259641 
33000.000000 ,422.654970 ,66.547865 ,95.065938 ,16.048418 
33500.000000 ,421.185470 ,66.542547 ,58.980149 ,17.243167 
34000.000000 ,421.709350 ,66.537228 ,4.139406 ,18.847680 
34500.000000 ,421.553600 ,66.531910 ,18.883432 ,19.175532 
35000.000000 ,424.499250 ,66.526591 ,87.521112 ,19.938020 
35500.000000 ,424.303660 ,66.521273 ,-33.900782 ,18.915670 
36000.000000 ,423.895710 ,66.515954 ,63.202550 ,20.225131 
36500.000000 ,422.499590 ,66.510636 ,11.546735 ,19.735587 
37000.000000 ,420.980580 ,66.505317 ,15.279445 ,19.200405 
37500.000000 ,421.744230 ,66.499999 ,58.009192 ,18.796698 
38000.000000 ,422.039950 ,66.494680 ,103.480669 ,19.964944 
38500.000000 ,418.147270 ,66.489362 ,-103.979685 ,19.147886 
39000.000000 ,421.684680 ,66.484044 ,-9.657486 ,19.283042 
39500.000000 ,424.798830 ,66.478725 ,-7.977169 ,20.186198 
40000.000000 ,422.922530 ,66.473407 ,75.773796 ,20.425019 
40500.000000 ,419.475980 ,66.468088 ,54.639553 ,20.908385 
41000.000000 ,423.295480 ,66.462770 ,-86.918465 ,20.420891 
41500.000000 ,419.127810 ,66.457451 ,-29.827191 ,22.182291 
42000.000000 ,419.410640 ,66.452133 ,5.621272 ,22.946200 
42500.000000 ,421.121230 ,66.446814 ,46.041187 ,23.602833 
43000.000000 ,422.407120 ,66.441496 ,11.461240 ,23.263363 
43500.000000 ,423.249120 ,66.436177 ,36.782352 ,24.850558 
44000.000000 ,421.403310 ,66.430859 ,-44.122497 ,25.614389 
44500.000000 ,422.573640 ,66.425540 ,-28.313596 ,24.361508 
45000.000000 ,425.322470 ,66.420222 ,244.805851 ,24.308141 
45500.000000 ,425.311760 ,66.414904 ,-14.476404 ,24.581047 
46000.000000 ,424.792470 ,66.409585 ,29.213274 ,25.279169 
46500.000000 ,425.054220 ,66.404267 ,93.701242 ,24.640524 
47000.000000 ,423.563810 ,66.398948 ,-53.028016 ,23.838632 
47500.000000 ,421.469810 ,66.393630 ,85.106147 ,23.769475 
48000.000000 ,424.740280 ,66.388311 ,116.206491 ,23.200384 
48500.000000 ,420.091600 ,66.382993 ,-27.200573 ,23.073817 
49000.000000 ,420.308510 ,66.377674 ,24.125285 ,22.728840 
