time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,424.334620 ,64.876675 ,-14.793703 ,3.080731 
500.000000 ,422.067510 ,64.871517 ,82.196687 ,3.453840 
1000.000000 ,421.908120 ,64.866359 ,45.078676 ,3.867726 
1500.000000 ,420.222330 ,64.861201 ,72.829401 ,3.893818 
2000.000000 ,421.639970 ,64.856044 ,-120.795004 ,3.999459 
2500.000000 ,420.011790 ,64.850886 ,12.821850 ,2.611869 
3000.000000 ,422.241960 ,64.845728 ,-66.793230 ,3.777715 
3500.000000 ,426.890110 ,64.840571 ,142.843425 ,4.618850 
4000.000000 ,421.714960 ,64.835413 ,106.121695 ,4.286149 
4500.000000 ,422.572300 ,64.830255 ,66.595259 ,4.665073 
5000.000000 ,423.924950 ,64.825098 ,-2.015782 ,2.329632 
5500.000000 ,421.458250 ,64.819940 ,-49.117210 ,3.026458 
6000.000000 ,422.510850 ,64.814782 ,-28.072271 ,3.102103 
6500.000000 ,421.155110 ,64.809625 ,10.418813 ,1.795958 
7000.000000 ,419.112700 ,64.804467 ,-46.026386 ,1.274510 
7500.000000 ,423.528910 ,64.799309 ,79.315416 ,1.323225 
8000.000000 ,420.306330 ,64.794151 ,-77.637724 ,-0.796127 
8500.000000 ,421.438840 ,64.788994 ,-21.323333 ,-0.957580 
9000.000000 ,423.746060 ,64.783836 ,25.067601 ,-1.312678 
9500.000000 ,416.029030 ,64.778678 ,63.216317 ,-1.066015 
10000.000000 ,421.706300 ,64.773521 ,-33.090154 ,-0.795467 
10500.000000 ,419.354750 ,64.768363 ,20.442651 ,-0.978950 
11000.000000 ,423.428660 ,64.763205 ,5.009636 ,-1.504083 
11500.000000 ,424.411180 ,64.758048 ,138.573053 ,0.101984 
12000.000000 ,420.351400 ,64.752890 ,47.694654 ,1.467375 
12500.000000 ,419.641800 ,64.747732 ,-75.441207 ,1.818049 
13000.000000 ,420.833760 ,64.742574 ,124.698844 ,4.283798 
13500.000000 ,423.198140 ,64.737417 ,38.453945 ,4.157196 
14000.000000 ,422.259540 ,64.732259 ,-41.432646 ,4.768078 
14500.000000 ,425.258070 ,64.727101 ,73.032325 ,4.373752 
