time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,453.065140 ,65.367748 ,-149.330576 ,0.223882 
500.000000 ,452.174620 ,65.362551 ,-97.071218 ,0.705685 
1000.000000 ,454.837390 ,65.357355 ,-130.132630 ,1.249289 
1500.000000 ,451.022510 ,65.352158 ,-51.367383 ,2.725935 
2000.000000 ,452.878970 ,65.346961 ,5.633787 ,2.408435 
2500.000000 ,456.661730 ,65.341764 ,99.188471 ,2.134862 
3000.000000 ,451.766780 ,65.336568 ,-52.901316 ,-0.181165 
3500.000000 ,452.157880 ,65.331371 ,105.395387 ,0.002370 
4000.000000 ,453.289180 ,65.326174 ,98.672757 ,-1.987226 
4500.000000 ,456.166420 ,65.320977 ,93.285302 ,-2.589573 
5000.000000 ,451.646810 ,65.315781 ,51.037686 ,-2.632193 
5500.000000 ,453.009760 ,65.310584 ,29.819362 ,-2.288707 
6000.000000 ,451.671310 ,65.305387 ,-43.802026 ,-2.567685 
6500.000000 ,454.153510 ,65.300191 ,43.452390 ,-2.300342 
7000.000000 ,455.556650 ,65.294994 ,-9.770624 ,-1.102021 
7500.000000 ,458.163620 ,65.289797 ,-28.069784 ,-1.110694 
8000.000000 ,452.288140 ,65.284600 ,-5.543516 ,-2.290177 
8500.000000 ,452.924670 ,65.279404 ,-36.345597 ,-1.504069 
9000.000000 ,454.285490 ,65.274207 ,-126.396828 ,-2.714499 
9500.000000 ,454.264420 ,65.269010 ,-81.568605 ,-2.182891 
10000.000000 ,451.052470 ,65.263813 ,-69.477323 ,-1.529177 
10500.000000 ,455.512230 ,65.258617 ,-72.613560 ,-1.894249 
11000.000000 ,448.995450 ,65.253420 ,-37.400670 ,-1.172475 
11500.000000 ,451.926450 ,65.248223 ,56.544975 ,-1.645136 
12000.000000 ,451.764340 ,65.243026 ,-23.859977 ,-0.935705 
12500.000000 ,450.365230 ,65.237830 ,70.623109 ,-1.453975 
13000.000000 ,452.203260 ,65.232633 ,85.062398 ,-2.967416 
