time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,419.722590 ,66.173534 ,66.128796 ,-18.958373 
500.000000 ,419.703830 ,66.168273 ,-28.878011 ,-20.621513 
1000.000000 ,424.403310 ,66.163012 ,-26.451436 ,-19.760994 
1500.000000 ,422.872940 ,66.157752 ,-93.042332 ,-21.356377 
2000.000000 ,421.834740 ,66.152491 ,35.844044 ,-23.668641 
2500.000000 ,420.784840 ,66.147230 ,75.114789 ,-22.559739 
3000.000000 ,420.366300 ,66.141969 ,-189.447423 ,-22.728071 
3500.000000 ,420.510540 ,66.136708 ,-32.633426 ,-22.862240 
4000.000000 ,419.124850 ,66.131448 ,-0.499508 ,-22.718864 
4500.000000 ,420.290650 ,66.126187 ,-169.854634 ,-22.573479 
5000.000000 ,422.189610 ,66.120926 ,21.582414 ,-22.880832 
5500.000000 ,423.786660 ,66.115665 ,-68.189560 ,-22.251188 
6000.000000 ,421.977530 ,66.110404 ,-112.709137 ,-22.273494 
6500.000000 ,425.219650 ,66.105144 ,-36.671932 ,-20.978289 
7000.000000 ,425.059310 ,66.099883 ,-40.840922 ,-19.576181 
7500.000000 ,424.111780 ,66.094622 ,-52.260570 ,-17.826814 
8000.000000 ,423.456500 ,66.089361 ,-100.742281 ,-18.175715 
8500.000000 ,421.827470 ,66.084100 ,-182.467175 ,-17.984009 
9000.000000 ,423.452770 ,66.078840 ,-50.165890 ,-16.636689 
9500.000000 ,419.250240 ,66.073579 ,-85.027016 ,-15.735733 
10000.000000 ,419.298480 ,66.068318 ,-121.594023 ,-16.499211 
10500.000000 ,423.633190 ,66.063057 ,24.433602 ,-15.518530 
11000.000000 ,422.463340 ,66.057796 ,-30.357756 ,-17.062683 
11500.000000 ,422.410720 ,66.052536 ,68.767552 ,-16.698847 
12000.000000 ,425.979730 ,66.047275 ,-48.868378 ,-15.411499 
12500.000000 ,420.285880 ,66.042014 ,-23.845302 ,-15.762663 
13000.000000 ,424.579860 ,66.036753 ,53.743114 ,-15.379908 
13500.000000 ,421.705090 ,66.031492 ,28.909087 ,-14.476785 
14000.000000 ,425.538160 ,66.026232 ,-53.504271 ,-12.626630 
14500.000000 ,424.302080 ,66.020971 ,18.928895 ,-14.452719 
15000.000000 ,421.774770 ,66.015710 ,11.903126 ,-14.887214 
15500.000000 ,425.076140 ,66.010449 ,106.297180 ,-14.572417 
16000.000000 ,424.654580 ,66.005189 ,73.204284 ,-12.330123 
16500.000000 ,422.719260 ,65.999928 ,110.373393 ,-11.658353 
17000.000000 ,422.239210 ,65.994667 ,45.184480 ,-12.597886 
17500.000000 ,419.659250 ,65.989406 ,-21.032421 ,-12.616601 
