time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,440.702070 ,68.936719 ,84.344305 ,12.014062 
500.000000 ,439.621460 ,68.931238 ,-7.212926 ,10.672233 
1000.000000 ,439.321790 ,68.925758 ,52.541262 ,12.624999 
1500.000000 ,441.482350 ,68.920278 ,-28.154046 ,13.432902 
2000.000000 ,436.945300 ,68.914797 ,58.159332 ,13.810923 
2500.000000 ,438.974720 ,68.909317 ,37.782740 ,15.700448 
3000.000000 ,439.997310 ,68.903836 ,-66.570749 ,15.633988 
3500.000000 ,442.621890 ,68.898356 ,26.314886 ,16.472827 
4000.000000 ,438.989330 ,68.892875 ,-2.659743 ,14.687134 
4500.000000 ,439.190850 ,68.887395 ,3.500019 ,14.616558 
5000.000000 ,436.188440 ,68.881914 ,-79.521248 ,13.474854 
5500.000000 ,439.869590 ,68.876434 ,-44.589085 ,12.193546 
6000.000000 ,436.030270 ,68.870953 ,116.116109 ,12.354877 
6500.000000 ,435.238110 ,68.865473 ,3.627039 ,11.417174 
7000.000000 ,439.638370 ,68.859992 ,-7.429782 ,13.046096 
7500.000000 ,439.633520 ,68.854512 ,-13.436279 ,13.240462 
8000.000000 ,441.972600 ,68.849031 ,80.517239 ,12.517409 
8500.000000 ,441.660390 ,68.843551 ,48.476124 ,11.869850 
9000.000000 ,440.860910 ,68.838070 ,-15.245021 ,12.378597 
9500.000000 ,438.495870 ,68.832590 ,91.235427 ,10.372482 
10000.000000 ,439.156330 ,68.827110 ,16.285353 ,9.509052 
10500.000000 ,439.168250 ,68.821629 ,-9.441236 ,9.424663 
11000.000000 ,441.954000 ,68.816149 ,59.478232 ,9.049892 
11500.000000 ,440.940110 ,68.810668 ,91.884145 ,7.257962 
12000.000000 ,436.145840 ,68.805188 ,122.124611 ,6.638192 
12500.000000 ,437.030830 ,68.799707 ,-85.772854 ,5.853697 
13000.000000 ,439.681130 ,68.794227 ,-83.867088 ,5.338302 
13500.000000 ,440.299190 ,68.788746 ,34.382087 ,5.577132 
14000.000000 ,440.908090 ,68.783266 ,-24.582543 ,5.218636 
14500.000000 ,437.884790 ,68.777785 ,-34.223603 ,5.690629 
15000.000000 ,436.079450 ,68.772305 ,73.637067 ,6.092730 
15500.000000 ,442.924640 ,68.766824 ,-33.072483 ,5.771890 
16000.000000 ,439.149640 ,68.761344 ,33.081866 ,6.382939 
16500.000000 ,439.446370 ,68.755863 ,5.206703 ,7.563150 
17000.000000 ,439.854910 ,68.750383 ,74.987456 ,8.120285 
17500.000000 ,437.541170 ,68.744902 ,4.754610 ,8.604861 
18000.000000 ,437.712530 ,68.739422 ,0.731072 ,9.370955 
18500.000000 ,438.957650 ,68.733942 ,52.370794 ,9.191509 
19000.000000 ,438.242300 ,68.728461 ,18.274626 ,9.122956 
19500.000000 ,438.262940 ,68.722981 ,-90.636042 ,9.559339 
20000.000000 ,443.708150 ,68.717500 ,49.001201 ,9.493333 
20500.000000 ,443.771910 ,68.712020 ,15.378987 ,9.858125 
21000.000000 ,439.181360 ,68.706539 ,21.563011 ,9.895866 
21500.000000 ,439.504140 ,68.701059 ,38.269666 ,9.203297 
22000.000000 ,438.229450 ,68.695578 ,14.952879 ,9.137198 
22500.000000 ,440.468440 ,68.690098 ,-54.371761 ,8.597688 
23000.000000 ,441.866170 ,68.684617 ,-32.682962 ,8.533455 
23500.000000 ,436.728490 ,68.679137 ,160.390291 ,7.959826 
24000.000000 ,440.374450 ,68.673656 ,-65.518912 ,8.907100 
24500.000000 ,436.709590 ,68.668176 ,-109.677655 ,9.306529 
25000.000000 ,439.786810 ,68.662695 ,-56.419242 ,9.454930 
25500.000000 ,441.044010 ,68.657215 ,112.216070 ,7.988292 
26000.000000 ,440.732790 ,68.651735 ,55.443874 ,8.567970 
26500.000000 ,440.096200 ,68.646254 ,33.846030 ,8.674541 
27000.000000 ,440.692080 ,68.640774 ,117.734776 ,8.938862 
27500.000000 ,441.861750 ,68.635293 ,11.978677 ,8.991880 
28000.000000 ,442.759350 ,68.629813 ,63.447835 ,9.844940 
28500.000000 ,438.112440 ,68.624332 ,-87.097384 ,11.025167 
29000.000000 ,440.127040 ,68.618852 ,10.523182 ,9.689852 
29500.000000 ,440.455490 ,68.613371 ,-53.885723 ,9.803954 
30000.000000 ,440.485320 ,68.607891 ,-64.684923 ,10.083240 
30500.000000 ,439.583040 ,68.602410 ,22.196060 ,12.837878 
31000.000000 ,441.641750 ,68.596930 ,-46.720406 ,14.583208 
31500.000000 ,440.113050 ,68.591449 ,115.668182 ,13.506051 
32000.000000 ,440.454350 ,68.585969 ,25.679886 ,13.756042 
32500.000000 ,438.799060 ,68.580488 ,-34.481004 ,14.688402 
33000.000000 ,439.619760 ,68.575008 ,-30.869029 ,14.997702 
33500.000000 ,440.457710 ,68.569527 ,46.464626 ,14.021214 
34000.000000 ,440.497610 ,68.564047 ,-126.043365 ,12.870740 
34500.000000 ,438.108990 ,68.558567 ,-50.067616 ,14.006113 
35000.000000 ,437.619190 ,68.553086 ,3.517465 ,12.591861 
35500.000000 ,437.011450 ,68.547606 ,-17.558867 ,11.971292 
36000.000000 ,438.154130 ,68.542125 ,-121.761016 ,11.871077 
36500.000000 ,439.191800 ,68.536645 ,-38.605010 ,11.302789 
37000.000000 ,437.482180 ,68.531164 ,-52.198940 ,9.233930 
37500.000000 ,443.174860 ,68.525684 ,-33.316274 ,7.492136 
38000.000000 ,443.213100 ,68.520203 ,23.728167 ,8.600614 
38500.000000 ,436.550020 ,68.514723 ,-22.385548 ,10.454976 
39000.000000 ,434.776560 ,68.509242 ,42.506102 ,10.530846 
39500.000000 ,435.421280 ,68.503762 ,37.858659 ,11.382661 
40000.000000 ,442.306150 ,68.498281 ,-19.895262 ,12.531873 
