time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,440.702070 ,68.936719 ,-3.022637 ,-13.930508 
500.000000 ,439.415940 ,68.931238 ,-38.494293 ,-13.923631 
1000.000000 ,436.575560 ,68.925758 ,72.245476 ,-12.964777 
1500.000000 ,443.531530 ,68.920278 ,-13.741388 ,-14.168106 
2000.000000 ,438.015320 ,68.914797 ,-165.908461 ,-14.558406 
2500.000000 ,441.039660 ,68.909317 ,36.074818 ,-14.924218 
3000.000000 ,438.854480 ,68.903836 ,-15.136037 ,-14.235848 
3500.000000 ,440.067280 ,68.898356 ,-2.026071 ,-12.264528 
4000.000000 ,441.562600 ,68.892875 ,16.373013 ,-11.779620 
4500.000000 ,440.701510 ,68.887395 ,-3.213113 ,-12.621037 
5000.000000 ,441.461040 ,68.881914 ,-138.302008 ,-10.327056 
5500.000000 ,436.827730 ,68.876434 ,-12.083560 ,-12.030738 
6000.000000 ,440.488320 ,68.870953 ,-23.406431 ,-10.842885 
6500.000000 ,436.208880 ,68.865473 ,97.131731 ,-9.081820 
7000.000000 ,437.975520 ,68.859992 ,-26.646799 ,-9.546116 
7500.000000 ,441.132590 ,68.854512 ,-36.998955 ,-9.052597 
8000.000000 ,439.064370 ,68.849031 ,5.191852 ,-8.110068 
8500.000000 ,438.092710 ,68.843551 ,9.634707 ,-8.368919 
9000.000000 ,438.629590 ,68.838070 ,-64.147586 ,-7.904355 
9500.000000 ,437.124920 ,68.832590 ,71.669253 ,-8.337502 
10000.000000 ,440.366300 ,68.827110 ,-115.690352 ,-7.998732 
10500.000000 ,439.015210 ,68.821629 ,-22.163034 ,-7.909958 
11000.000000 ,437.349420 ,68.816149 ,31.399573 ,-7.630102 
11500.000000 ,438.424720 ,68.810668 ,7.776170 ,-6.468981 
12000.000000 ,440.065050 ,68.805188 ,-49.282090 ,-5.417997 
12500.000000 ,441.529180 ,68.799707 ,-33.208875 ,-4.180506 
13000.000000 ,442.183530 ,68.794227 ,18.468249 ,-4.298360 
13500.000000 ,439.213780 ,68.788746 ,21.458516 ,-4.929297 
14000.000000 ,436.476590 ,68.783266 ,-39.240491 ,-4.898326 
14500.000000 ,441.234050 ,68.777785 ,78.234093 ,-4.972272 
15000.000000 ,436.969820 ,68.772305 ,60.723233 ,-5.523147 
15500.000000 ,439.725320 ,68.766824 ,4.738461 ,-5.830233 
16000.000000 ,443.660610 ,68.761344 ,-46.139764 ,-4.548395 
16500.000000 ,439.928200 ,68.755863 ,-120.908012 ,-3.960844 
17000.000000 ,437.572090 ,68.750383 ,-95.740668 ,-2.556262 
17500.000000 ,439.117440 ,68.744902 ,31.119197 ,-3.733149 
18000.000000 ,436.726020 ,68.739422 ,-40.344245 ,-2.983690 
18500.000000 ,441.916980 ,68.733942 ,-18.099720 ,-2.387200 
19000.000000 ,438.874120 ,68.728461 ,8.517193 ,-2.231456 
19500.000000 ,442.034340 ,68.722981 ,-27.572242 ,-1.621724 
20000.000000 ,440.512910 ,68.717500 ,-40.559877 ,-2.098004 
20500.000000 ,438.622850 ,68.712020 ,-5.194295 ,-2.079836 
21000.000000 ,440.192110 ,68.706539 ,-19.449892 ,-2.481444 
21500.000000 ,438.646640 ,68.701059 ,-19.675833 ,-2.786666 
22000.000000 ,440.899600 ,68.695578 ,-63.619617 ,-3.472998 
22500.000000 ,441.620110 ,68.690098 ,-54.695259 ,-3.138103 
23000.000000 ,436.412580 ,68.684617 ,74.873534 ,-2.824056 
23500.000000 ,441.620760 ,68.679137 ,-66.960502 ,-3.046827 
