time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,470.747760 ,73.820910 ,-51.625389 ,10.159331 
500.000000 ,466.769930 ,73.815042 ,30.078598 ,7.764412 
1000.000000 ,468.541010 ,73.809173 ,49.686373 ,8.663878 
1500.000000 ,471.751040 ,73.803304 ,-66.232536 ,10.602512 
2000.000000 ,468.289690 ,73.797435 ,-31.762717 ,12.306200 
2500.000000 ,467.313550 ,73.791567 ,-29.143417 ,11.841414 
3000.000000 ,465.581610 ,73.785698 ,39.955825 ,10.324488 
3500.000000 ,467.670550 ,73.779829 ,-31.354527 ,9.902811 
4000.000000 ,468.364710 ,73.773960 ,67.659922 ,9.329728 
4500.000000 ,468.856510 ,73.768092 ,4.290729 ,7.221234 
5000.000000 ,464.997090 ,73.762223 ,37.951066 ,7.199383 
5500.000000 ,470.515770 ,73.756354 ,58.339740 ,8.244990 
6000.000000 ,467.633410 ,73.750485 ,-6.697085 ,8.545629 
6500.000000 ,470.729460 ,73.744617 ,-33.620498 ,7.643351 
7000.000000 ,466.203900 ,73.738748 ,33.329076 ,7.546424 
7500.000000 ,468.688260 ,73.732879 ,37.475790 ,9.041190 
8000.000000 ,468.429830 ,73.727010 ,16.163424 ,9.269071 
8500.000000 ,470.520990 ,73.721142 ,170.369132 ,10.362064 
9000.000000 ,471.352210 ,73.715273 ,12.041476 ,10.591667 
9500.000000 ,468.516930 ,73.709404 ,37.918681 ,10.405516 
10000.000000 ,470.750690 ,73.703535 ,-18.686728 ,10.624997 
10500.000000 ,472.667150 ,73.697666 ,29.817999 ,10.975534 
11000.000000 ,468.556840 ,73.691798 ,44.867937 ,11.849265 
11500.000000 ,469.012250 ,73.685929 ,-9.644331 ,12.755561 
12000.000000 ,468.502500 ,73.680060 ,-38.443402 ,12.957345 
12500.000000 ,466.255680 ,73.674191 ,42.089098 ,12.537275 
13000.000000 ,470.603520 ,73.668323 ,0.058727 ,11.670094 
13500.000000 ,465.238440 ,73.662454 ,-24.583819 ,10.458756 
14000.000000 ,466.294520 ,73.656585 ,50.558859 ,10.550475 
14500.000000 ,464.507460 ,73.650716 ,-16.535189 ,11.327425 
15000.000000 ,467.472120 ,73.644848 ,6.505531 ,11.410562 
15500.000000 ,465.423120 ,73.638979 ,-14.373210 ,11.893537 
16000.000000 ,467.715490 ,73.633110 ,-29.467503 ,11.664195 
16500.000000 ,469.542530 ,73.627241 ,-87.925920 ,12.084387 
17000.000000 ,472.017930 ,73.621373 ,95.908630 ,12.303774 
17500.000000 ,469.477160 ,73.615504 ,23.541789 ,12.044447 
18000.000000 ,469.194410 ,73.609635 ,139.564417 ,11.698684 
18500.000000 ,468.372170 ,73.603766 ,14.208548 ,10.652145 
19000.000000 ,465.652230 ,73.597898 ,34.849414 ,10.333583 
19500.000000 ,468.390960 ,73.592029 ,-32.585624 ,10.386075 
20000.000000 ,470.616280 ,73.586160 ,-23.447103 ,10.050670 
20500.000000 ,465.564880 ,73.580291 ,131.585417 ,10.899015 
21000.000000 ,470.446540 ,73.574422 ,-39.718950 ,11.416483 
21500.000000 ,466.528830 ,73.568554 ,-31.211554 ,11.991288 
22000.000000 ,471.291980 ,73.562685 ,92.987804 ,11.927031 
22500.000000 ,469.077330 ,73.556816 ,-134.069967 ,11.341402 
23000.000000 ,468.149970 ,73.550947 ,-42.633177 ,11.258227 
23500.000000 ,469.312870 ,73.545079 ,-38.210310 ,11.328824 
24000.000000 ,467.724030 ,73.539210 ,86.657368 ,11.524822 
24500.000000 ,464.377640 ,73.533341 ,-48.521889 ,11.848989 
25000.000000 ,471.390820 ,73.527472 ,-111.981533 ,10.614824 
25500.000000 ,469.941610 ,73.521604 ,54.536689 ,12.615811 
26000.000000 ,472.046600 ,73.515735 ,111.411468 ,12.645487 
26500.000000 ,472.240980 ,73.509866 ,102.601624 ,12.112700 
27000.000000 ,472.966890 ,73.503997 ,-13.257012 ,13.691616 
27500.000000 ,468.660230 ,73.498129 ,-73.106454 ,13.679697 
28000.000000 ,469.515080 ,73.492260 ,-13.711091 ,14.806773 
28500.000000 ,472.657590 ,73.486391 ,-23.335996 ,14.593881 
29000.000000 ,471.737620 ,73.480522 ,-115.071418 ,16.055688 
29500.000000 ,470.727870 ,73.474654 ,5.910199 ,16.139840 
30000.000000 ,467.027210 ,73.468785 ,70.981379 ,15.782819 
30500.000000 ,470.039480 ,73.462916 ,26.884640 ,14.638603 
31000.000000 ,467.525920 ,73.457047 ,-48.297919 ,13.745297 
31500.000000 ,471.119080 ,73.451178 ,1.440040 ,13.426805 
32000.000000 ,464.752980 ,73.445310 ,104.706205 ,14.144722 
32500.000000 ,468.156820 ,73.439441 ,24.081318 ,14.491350 
33000.000000 ,466.638770 ,73.433572 ,82.499656 ,14.675133 
33500.000000 ,473.831010 ,73.427703 ,25.975068 ,15.777665 
34000.000000 ,466.438630 ,73.421835 ,-2.252782 ,14.604591 
34500.000000 ,471.465920 ,73.415966 ,25.769178 ,15.592284 
35000.000000 ,471.192030 ,73.410097 ,35.513117 ,15.599550 
35500.000000 ,469.232600 ,73.404228 ,73.884206 ,15.504427 
36000.000000 ,467.130740 ,73.398360 ,78.008862 ,14.428089 
36500.000000 ,469.422430 ,73.392491 ,27.687569 ,13.867344 
37000.000000 ,471.824900 ,73.386622 ,-18.547885 ,14.363744 
37500.000000 ,470.255130 ,73.380753 ,-53.368475 ,15.560973 
38000.000000 ,468.635740 ,73.374885 ,-81.602986 ,15.122536 
38500.000000 ,469.420270 ,73.369016 ,17.612889 ,14.606665 
39000.000000 ,468.460420 ,73.363147 ,71.929479 ,14.679320 
39500.000000 ,466.266350 ,73.357278 ,17.978371 ,14.313715 
