time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,469.655700 ,73.898326 ,8.489637 ,-0.671377 
500.000000 ,467.961060 ,73.892451 ,53.536298 ,1.213671 
1000.000000 ,471.271640 ,73.886576 ,-31.616586 ,0.635209 
1500.000000 ,468.005170 ,73.880701 ,45.040826 ,0.828183 
2000.000000 ,465.689690 ,73.874826 ,-98.394176 ,2.039609 
2500.000000 ,463.275240 ,73.868951 ,-52.997162 ,2.385814 
3000.000000 ,463.832620 ,73.863076 ,-92.795018 ,3.407132 
3500.000000 ,470.853750 ,73.857201 ,43.700520 ,5.284877 
4000.000000 ,466.581790 ,73.851326 ,150.883382 ,6.105702 
4500.000000 ,472.547780 ,73.845451 ,3.765181 ,7.499859 
5000.000000 ,468.208760 ,73.839576 ,15.351674 ,7.222206 
5500.000000 ,466.387770 ,73.833701 ,-112.135820 ,7.061749 
6000.000000 ,469.332750 ,73.827827 ,-23.448924 ,7.050999 
6500.000000 ,469.510950 ,73.821952 ,-8.907076 ,7.468268 
7000.000000 ,467.816180 ,73.816077 ,-9.833602 ,7.660134 
7500.000000 ,472.273910 ,73.810202 ,-46.020887 ,9.093233 
8000.000000 ,469.271900 ,73.804327 ,22.415689 ,9.465542 
8500.000000 ,466.916950 ,73.798452 ,42.050238 ,8.014348 
9000.000000 ,468.569000 ,73.792577 ,-26.501666 ,7.752600 
9500.000000 ,469.926750 ,73.786702 ,56.295580 ,7.454735 
10000.000000 ,468.122580 ,73.780827 ,109.741166 ,7.728056 
10500.000000 ,468.843480 ,73.774952 ,-168.703035 ,6.367290 
11000.000000 ,471.127500 ,73.769077 ,24.411630 ,7.788463 
11500.000000 ,467.463410 ,73.763202 ,39.759150 ,6.507725 
12000.000000 ,465.952030 ,73.757328 ,7.220970 ,7.135875 
12500.000000 ,470.149130 ,73.751453 ,-18.978774 ,6.979864 
13000.000000 ,469.019250 ,73.745578 ,9.516976 ,7.963120 
13500.000000 ,470.062360 ,73.739703 ,-42.115896 ,9.440495 
14000.000000 ,468.511890 ,73.733828 ,72.489851 ,7.386013 
14500.000000 ,468.842260 ,73.727953 ,-107.112542 ,6.330199 
15000.000000 ,466.692860 ,73.722078 ,115.456808 ,5.995127 
15500.000000 ,467.613150 ,73.716203 ,-21.006796 ,5.631629 
16000.000000 ,471.366140 ,73.710328 ,55.323921 ,5.921189 
16500.000000 ,472.215920 ,73.704453 ,51.628043 ,5.826946 
17000.000000 ,469.964360 ,73.698578 ,44.951612 ,5.486655 
17500.000000 ,468.787880 ,73.692703 ,-29.667524 ,6.490880 
18000.000000 ,467.199390 ,73.686829 ,-56.598626 ,5.993915 
18500.000000 ,466.618390 ,73.680954 ,19.309631 ,6.956872 
19000.000000 ,469.269870 ,73.675079 ,-31.755165 ,6.752254 
19500.000000 ,468.263850 ,73.669204 ,-53.334531 ,5.956468 
20000.000000 ,468.760380 ,73.663329 ,3.601453 ,6.691284 
20500.000000 ,469.641570 ,73.657454 ,12.429354 ,7.025599 
21000.000000 ,466.371280 ,73.651579 ,-42.169966 ,6.511651 
21500.000000 ,467.315550 ,73.645704 ,88.366189 ,5.463038 
22000.000000 ,471.053840 ,73.639829 ,15.990462 ,5.037029 
22500.000000 ,466.958540 ,73.633954 ,-42.153606 ,4.598605 
23000.000000 ,464.313990 ,73.628079 ,108.806068 ,3.979344 
23500.000000 ,466.991050 ,73.622204 ,-70.092990 ,3.399146 
24000.000000 ,468.480620 ,73.616330 ,-34.749392 ,2.815028 
24500.000000 ,467.861810 ,73.610455 ,-33.011391 ,2.685183 
