time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,443.189290 ,77.486083 ,6.570082 ,-11.468224 
500.000000 ,442.776260 ,77.479923 ,35.189582 ,-10.589420 
1000.000000 ,440.354700 ,77.473762 ,-100.664740 ,-10.188670 
1500.000000 ,442.389830 ,77.467602 ,52.745910 ,-10.547889 
2000.000000 ,442.194410 ,77.461442 ,-34.232224 ,-13.112375 
2500.000000 ,442.738260 ,77.455282 ,68.251572 ,-13.204263 
3000.000000 ,442.815140 ,77.449122 ,24.700858 ,-13.781631 
3500.000000 ,441.259570 ,77.442962 ,5.431603 ,-13.503979 
4000.000000 ,444.058040 ,77.436802 ,-49.024618 ,-13.022060 
4500.000000 ,443.043230 ,77.430641 ,10.497615 ,-13.275233 
5000.000000 ,442.256350 ,77.424481 ,-19.812051 ,-14.413270 
5500.000000 ,439.981130 ,77.418321 ,-70.952894 ,-13.791717 
6000.000000 ,442.469900 ,77.412161 ,-55.247327 ,-13.209205 
6500.000000 ,444.526200 ,77.406001 ,21.984139 ,-12.522304 
7000.000000 ,444.813270 ,77.399841 ,-65.717015 ,-13.855657 
7500.000000 ,440.646440 ,77.393681 ,-45.069067 ,-13.800481 
8000.000000 ,442.393490 ,77.387520 ,106.948213 ,-15.034208 
8500.000000 ,441.503260 ,77.381360 ,66.797376 ,-15.654688 
9000.000000 ,442.193380 ,77.375200 ,-73.926373 ,-15.307231 
9500.000000 ,443.066200 ,77.369040 ,27.505081 ,-15.113578 
10000.000000 ,439.156760 ,77.362880 ,-31.911886 ,-13.435630 
10500.000000 ,442.817770 ,77.356720 ,-100.500540 ,-12.293027 
11000.000000 ,442.484860 ,77.350560 ,-58.622326 ,-12.066113 
11500.000000 ,441.194830 ,77.344399 ,-37.734964 ,-11.580552 
12000.000000 ,442.572090 ,77.338239 ,-7.506674 ,-11.831368 
12500.000000 ,443.208920 ,77.332079 ,57.713879 ,-11.640724 
13000.000000 ,441.610140 ,77.325919 ,28.436770 ,-11.377548 
13500.000000 ,444.669190 ,77.319759 ,-78.992707 ,-9.884265 
14000.000000 ,443.545790 ,77.313599 ,37.558159 ,-9.287524 
14500.000000 ,439.878320 ,77.307439 ,-7.634166 ,-9.239875 
15000.000000 ,440.078910 ,77.301278 ,32.701053 ,-9.465026 
