time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,453.990450 ,66.672952 ,63.706560 ,11.507280 
500.000000 ,452.077890 ,66.667651 ,66.846536 ,9.043655 
1000.000000 ,457.104060 ,66.662351 ,81.842638 ,8.078657 
1500.000000 ,452.506870 ,66.657050 ,-18.186735 ,8.914801 
2000.000000 ,454.399940 ,66.651750 ,149.963817 ,10.036103 
2500.000000 ,454.866180 ,66.646449 ,197.234148 ,8.511611 
3000.000000 ,453.096450 ,66.641149 ,-67.956299 ,7.721445 
3500.000000 ,453.413900 ,66.635848 ,13.088360 ,8.059994 
4000.000000 ,457.533620 ,66.630548 ,-97.956229 ,10.037866 
4500.000000 ,450.049950 ,66.625247 ,17.015653 ,9.283160 
5000.000000 ,456.449790 ,66.619947 ,-94.004008 ,9.445082 
5500.000000 ,450.279460 ,66.614646 ,-20.051335 ,9.203919 
6000.000000 ,455.244530 ,66.609346 ,105.519845 ,9.306823 
6500.000000 ,456.895240 ,66.604045 ,35.439219 ,10.644649 
7000.000000 ,453.425480 ,66.598745 ,-48.020916 ,10.773869 
7500.000000 ,450.831710 ,66.593444 ,-43.976931 ,9.375543 
8000.000000 ,450.240020 ,66.588144 ,127.397341 ,10.678531 
8500.000000 ,450.737130 ,66.582843 ,54.583250 ,11.811408 
9000.000000 ,450.516530 ,66.577543 ,1.616605 ,12.255474 
9500.000000 ,451.269840 ,66.572242 ,6.911470 ,13.251261 
10000.000000 ,454.780170 ,66.566942 ,-5.647906 ,12.682104 
10500.000000 ,451.005640 ,66.561641 ,66.284210 ,11.854657 
11000.000000 ,451.621900 ,66.556341 ,-9.161183 ,10.841683 
11500.000000 ,452.858470 ,66.551040 ,8.279383 ,9.230232 
12000.000000 ,453.385750 ,66.545740 ,72.155207 ,8.657142 
12500.000000 ,456.869450 ,66.540439 ,-70.086321 ,9.605557 
13000.000000 ,453.179620 ,66.535139 ,116.887537 ,11.458257 
13500.000000 ,454.100510 ,66.529838 ,-18.260677 ,11.113722 
14000.000000 ,450.973090 ,66.524538 ,-54.456015 ,12.591394 
14500.000000 ,453.161530 ,66.519237 ,-41.022578 ,13.836002 
15000.000000 ,451.079490 ,66.513937 ,14.232791 ,12.476288 
15500.000000 ,455.560560 ,66.508636 ,65.097910 ,12.197953 
16000.000000 ,452.133480 ,66.503336 ,-55.020007 ,12.574670 
16500.000000 ,454.850810 ,66.498035 ,-106.038112 ,12.961588 
17000.000000 ,449.401100 ,66.492735 ,47.515733 ,13.082971 
17500.000000 ,454.765060 ,66.487434 ,-42.369927 ,13.611908 
18000.000000 ,453.063740 ,66.482134 ,-126.990450 ,12.004338 
18500.000000 ,454.744920 ,66.476833 ,24.275517 ,12.422407 
19000.000000 ,451.306500 ,66.471533 ,-31.989753 ,12.644453 
19500.000000 ,449.300260 ,66.466232 ,-77.183545 ,13.009398 
20000.000000 ,453.150500 ,66.460932 ,30.708460 ,13.319687 
20500.000000 ,452.111410 ,66.455631 ,-32.862029 ,14.284302 
21000.000000 ,453.034250 ,66.450331 ,30.501511 ,14.293373 
21500.000000 ,453.979450 ,66.445030 ,81.756054 ,14.117853 
22000.000000 ,456.939660 ,66.439730 ,42.429347 ,14.073341 
22500.000000 ,450.089590 ,66.434429 ,46.920595 ,15.895498 
23000.000000 ,455.538000 ,66.429129 ,-68.371131 ,15.758333 
23500.000000 ,448.707070 ,66.423828 ,68.318054 ,15.159506 
24000.000000 ,452.344050 ,66.418528 ,12.554005 ,14.242394 
24500.000000 ,449.877730 ,66.413227 ,55.894337 ,13.860565 
25000.000000 ,450.422920 ,66.407927 ,-114.137597 ,14.290027 
25500.000000 ,450.979360 ,66.402626 ,-41.136223 ,14.427765 
26000.000000 ,451.104830 ,66.397326 ,52.394280 ,13.921652 
26500.000000 ,454.087890 ,66.392025 ,69.465077 ,13.315564 
27000.000000 ,455.183950 ,66.386725 ,-73.810963 ,13.395071 
27500.000000 ,449.744000 ,66.381424 ,-35.737640 ,12.215747 
28000.000000 ,454.804370 ,66.376124 ,27.018712 ,10.874412 
28500.000000 ,450.815440 ,66.370823 ,122.776587 ,12.146916 
29000.000000 ,454.266290 ,66.365523 ,-34.489789 ,11.454080 
29500.000000 ,449.823490 ,66.360222 ,18.998464 ,13.100312 
30000.000000 ,450.582740 ,66.354922 ,-5.265880 ,14.579639 
30500.000000 ,450.789520 ,66.349621 ,15.583982 ,15.807333 
31000.000000 ,453.142090 ,66.344321 ,93.589855 ,15.504101 
31500.000000 ,453.592980 ,66.339020 ,18.914743 ,13.873913 
32000.000000 ,450.692960 ,66.333720 ,-80.117347 ,13.037134 
32500.000000 ,453.417920 ,66.328419 ,95.372810 ,13.166383 
33000.000000 ,453.793620 ,66.323119 ,86.581230 ,13.798218 
33500.000000 ,450.064180 ,66.317818 ,42.007953 ,13.078440 
34000.000000 ,454.092230 ,66.312518 ,80.964764 ,12.287099 
34500.000000 ,452.070340 ,66.307217 ,-26.589728 ,12.853645 
35000.000000 ,451.970420 ,66.301917 ,-46.066619 ,12.551935 
35500.000000 ,451.279690 ,66.296616 ,-61.079506 ,12.565690 
36000.000000 ,455.484860 ,66.291316 ,-106.794240 ,11.742278 
36500.000000 ,453.851400 ,66.286015 ,-33.178387 ,13.243026 
37000.000000 ,456.133190 ,66.280715 ,79.788218 ,12.513697 
37500.000000 ,452.883390 ,66.275414 ,150.410751 ,12.103766 
38000.000000 ,454.257490 ,66.270114 ,-15.070939 ,11.766849 
38500.000000 ,454.675110 ,66.264813 ,126.372165 ,11.260868 
39000.000000 ,452.124250 ,66.259513 ,110.915411 ,11.349800 
39500.000000 ,449.574010 ,66.254212 ,-94.941121 ,11.870900 
40000.000000 ,450.638820 ,66.248912 ,-10.068799 ,12.587390 
40500.000000 ,454.162250 ,66.243611 ,43.088706 ,12.960397 
41000.000000 ,451.846880 ,66.238311 ,44.688907 ,12.310621 
41500.000000 ,451.722450 ,66.233010 ,23.157735 ,12.635447 
42000.000000 ,449.885660 ,66.227710 ,58.042614 ,14.844868 
42500.000000 ,454.420430 ,66.222409 ,-124.639092 ,15.253654 
43000.000000 ,454.193020 ,66.217109 ,48.376278 ,16.958231 
43500.000000 ,451.532510 ,66.211808 ,31.962529 ,18.615038 
44000.000000 ,453.829010 ,66.206508 ,45.124523 ,17.966238 
44500.000000 ,451.713230 ,66.201207 ,40.935373 ,18.715857 
45000.000000 ,454.085820 ,66.195907 ,101.099639 ,19.640234 
45500.000000 ,455.022490 ,66.190606 ,15.118870 ,19.491731 
46000.000000 ,451.631910 ,66.185306 ,-2.030025 ,19.533874 
46500.000000 ,456.536470 ,66.180005 ,9.933724 ,20.740483 
47000.000000 ,454.560780 ,66.174705 ,187.178260 ,20.361091 
47500.000000 ,453.273280 ,66.169404 ,2.727720 ,20.280962 
48000.000000 ,453.955180 ,66.164104 ,-42.327955 ,20.149687 
48500.000000 ,451.562020 ,66.158803 ,-74.717385 ,21.046224 
49000.000000 ,453.602500 ,66.153503 ,-23.558677 ,19.737173 
49500.000000 ,450.809760 ,66.148202 ,56.806718 ,19.990686 
50000.000000 ,450.380070 ,66.142902 ,77.480415 ,18.618179 
50500.000000 ,453.292990 ,66.137601 ,16.235168 ,19.264362 
