time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,451.833500 ,67.876610 ,-21.388905 ,-19.899483 
500.000000 ,454.811100 ,67.871214 ,-76.692003 ,-19.193852 
1000.000000 ,452.181580 ,67.865818 ,-93.020546 ,-19.417887 
1500.000000 ,449.138020 ,67.860422 ,20.310065 ,-21.482636 
2000.000000 ,454.628700 ,67.855025 ,39.032038 ,-21.003084 
2500.000000 ,454.763760 ,67.849629 ,6.060035 ,-22.058890 
3000.000000 ,450.628720 ,67.844233 ,93.531487 ,-18.572108 
3500.000000 ,457.355180 ,67.838837 ,26.380390 ,-18.379805 
4000.000000 ,456.445850 ,67.833441 ,-16.901900 ,-17.033002 
4500.000000 ,450.167680 ,67.828044 ,-41.311763 ,-16.707828 
5000.000000 ,453.059370 ,67.822648 ,-0.413852 ,-16.519826 
5500.000000 ,449.528150 ,67.817252 ,-55.275278 ,-14.630354 
6000.000000 ,452.639280 ,67.811856 ,29.977523 ,-14.053339 
6500.000000 ,452.116850 ,67.806460 ,-39.334498 ,-14.165268 
7000.000000 ,452.198620 ,67.801063 ,-134.285242 ,-15.524757 
7500.000000 ,453.425340 ,67.795667 ,-103.117581 ,-14.588380 
8000.000000 ,456.685110 ,67.790271 ,-39.889554 ,-14.920441 
8500.000000 ,454.762300 ,67.784875 ,-84.920259 ,-14.262456 
9000.000000 ,450.297570 ,67.779479 ,18.992163 ,-14.782401 
9500.000000 ,456.616670 ,67.774082 ,54.954650 ,-14.261885 
10000.000000 ,451.987220 ,67.768686 ,98.088843 ,-15.122264 
10500.000000 ,453.390520 ,67.763290 ,63.967204 ,-14.835738 
11000.000000 ,453.595970 ,67.757894 ,-84.293626 ,-14.092727 
11500.000000 ,456.593120 ,67.752498 ,18.014787 ,-15.359582 
12000.000000 ,455.700760 ,67.747102 ,-73.730551 ,-14.353113 
12500.000000 ,452.019990 ,67.741705 ,27.569576 ,-13.322292 
13000.000000 ,454.875760 ,67.736309 ,-63.490037 ,-13.402901 
13500.000000 ,450.757110 ,67.730913 ,28.473613 ,-12.618867 
14000.000000 ,450.303690 ,67.725517 ,-107.547601 ,-11.076471 
14500.000000 ,450.217620 ,67.720121 ,-108.215759 ,-10.052162 
15000.000000 ,452.438260 ,67.714724 ,-49.329716 ,-9.285350 
15500.000000 ,453.999320 ,67.709328 ,-71.859922 ,-9.174989 
16000.000000 ,454.526910 ,67.703932 ,63.746755 ,-9.791347 
16500.000000 ,455.081260 ,67.698536 ,-70.647080 ,-8.047223 
17000.000000 ,454.861550 ,67.693140 ,-12.368354 ,-7.565947 
17500.000000 ,453.481020 ,67.687743 ,-31.217537 ,-7.154097 
18000.000000 ,452.189230 ,67.682347 ,-99.840619 ,-6.108269 
18500.000000 ,450.667350 ,67.676951 ,58.086193 ,-6.618887 
19000.000000 ,453.881530 ,67.671555 ,82.172663 ,-7.357921 
19500.000000 ,454.555320 ,67.666159 ,-84.081908 ,-6.069132 
20000.000000 ,450.733260 ,67.660762 ,-37.730112 ,-5.617528 
20500.000000 ,451.541070 ,67.655366 ,-34.108026 ,-5.113169 
21000.000000 ,453.155450 ,67.649970 ,-128.737962 ,-4.045218 
21500.000000 ,453.779760 ,67.644574 ,-8.570132 ,-4.952145 
22000.000000 ,451.676400 ,67.639178 ,57.719299 ,-3.959449 
22500.000000 ,450.743260 ,67.633782 ,54.374923 ,-2.908502 
23000.000000 ,451.574310 ,67.628385 ,-93.290903 ,-2.489873 
23500.000000 ,450.931350 ,67.622989 ,-69.876357 ,-3.055264 
24000.000000 ,451.881670 ,67.617593 ,-61.339231 ,-4.687025 
24500.000000 ,452.082430 ,67.612197 ,160.400444 ,-4.276188 
25000.000000 ,451.937360 ,67.606801 ,16.087699 ,-2.417333 
25500.000000 ,452.888070 ,67.601404 ,-30.843679 ,-1.687950 
26000.000000 ,453.307170 ,67.596008 ,-128.849571 ,-2.625211 
26500.000000 ,451.678220 ,67.590612 ,4.413163 ,-0.920328 
