time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,464.773520 ,67.828203 ,-23.669465 ,7.002040 
500.000000 ,465.917760 ,67.822810 ,3.787988 ,8.238805 
1000.000000 ,464.200820 ,67.817418 ,-31.193123 ,9.063280 
1500.000000 ,466.014490 ,67.812025 ,-102.230694 ,9.597645 
2000.000000 ,465.150650 ,67.806633 ,151.239428 ,8.779228 
2500.000000 ,462.214400 ,67.801241 ,197.376672 ,7.233178 
3000.000000 ,464.687160 ,67.795848 ,-6.105357 ,7.070189 
3500.000000 ,461.699000 ,67.790456 ,57.940521 ,7.600691 
4000.000000 ,463.831420 ,67.785064 ,132.154945 ,10.018942 
4500.000000 ,471.591680 ,67.779671 ,41.985095 ,8.481417 
5000.000000 ,464.343410 ,67.774279 ,-13.147015 ,9.609374 
5500.000000 ,468.670030 ,67.768887 ,-71.789531 ,8.718082 
6000.000000 ,462.901420 ,67.763494 ,16.050895 ,8.718402 
6500.000000 ,465.208490 ,67.758102 ,105.437640 ,8.833512 
7000.000000 ,465.432390 ,67.752710 ,-147.404874 ,10.519629 
7500.000000 ,465.269850 ,67.747317 ,-74.239262 ,10.059423 
8000.000000 ,466.116310 ,67.741925 ,79.179435 ,11.865086 
8500.000000 ,463.832440 ,67.736533 ,-127.734237 ,14.833474 
9000.000000 ,465.289610 ,67.731140 ,-33.998010 ,12.995057 
9500.000000 ,463.951980 ,67.725748 ,101.223730 ,14.356772 
10000.000000 ,465.157910 ,67.720356 ,-17.774793 ,15.914085 
10500.000000 ,460.667160 ,67.714963 ,31.633776 ,16.619388 
11000.000000 ,466.978250 ,67.709571 ,-34.436561 ,17.334908 
11500.000000 ,461.089980 ,67.704179 ,-59.033737 ,16.443541 
12000.000000 ,464.947750 ,67.698786 ,-14.989906 ,15.168755 
12500.000000 ,466.318640 ,67.693394 ,-73.061748 ,14.737404 
13000.000000 ,467.368840 ,67.688002 ,-4.092376 ,15.390220 
13500.000000 ,464.231180 ,67.682609 ,-26.505458 ,16.522570 
14000.000000 ,467.781600 ,67.677217 ,-14.077630 ,17.097101 
14500.000000 ,467.717630 ,67.671825 ,21.261774 ,17.301190 
15000.000000 ,467.832310 ,67.666432 ,-77.050060 ,17.913495 
15500.000000 ,470.784090 ,67.661040 ,31.728614 ,17.637805 
16000.000000 ,466.141390 ,67.655648 ,52.149359 ,17.931475 
16500.000000 ,466.859120 ,67.650255 ,12.841609 ,18.539123 
17000.000000 ,466.234670 ,67.644863 ,-6.726228 ,18.843875 
