time (fs),T (K),Lx (Angstroms),Stress (MPa),Moving Averaged Stress (MPa)
0.000000 ,426.394120 ,79.597248 ,-54.710099 ,17.141020 
500.000000 ,428.011560 ,79.590920 ,-5.857927 ,16.835051 
1000.000000 ,425.444120 ,79.584592 ,51.818418 ,16.690797 
1500.000000 ,423.580660 ,79.578264 ,33.787134 ,15.281089 
2000.000000 ,424.944610 ,79.571936 ,58.289913 ,14.972571 
2500.000000 ,424.973920 ,79.565608 ,10.907200 ,16.708847 
3000.000000 ,424.985280 ,79.559280 ,24.698792 ,18.400016 
3500.000000 ,422.943350 ,79.552952 ,0.668330 ,18.463708 
4000.000000 ,425.859510 ,79.546624 ,48.990701 ,19.708820 
4500.000000 ,428.002320 ,79.540296 ,-11.916729 ,19.942747 
5000.000000 ,427.691700 ,79.533968 ,-5.587003 ,20.367710 
5500.000000 ,422.896560 ,79.527640 ,13.530317 ,21.516306 
6000.000000 ,423.208650 ,79.521312 ,85.200570 ,20.694853 
6500.000000 ,425.507700 ,79.514985 ,-61.768142 ,20.783518 
7000.000000 ,425.088810 ,79.508657 ,23.616527 ,20.826958 
7500.000000 ,423.800890 ,79.502329 ,-39.745144 ,20.428607 
8000.000000 ,425.709350 ,79.496001 ,-33.412543 ,19.936845 
8500.000000 ,423.579440 ,79.489673 ,-25.726379 ,19.915939 
9000.000000 ,426.199980 ,79.483345 ,-14.084559 ,19.853082 
9500.000000 ,427.146060 ,79.477017 ,74.257849 ,20.827693 
10000.000000 ,424.755940 ,79.470689 ,-0.629059 ,21.198639 
10500.000000 ,427.616070 ,79.464361 ,5.215725 ,21.826411 
11000.000000 ,429.611490 ,79.458033 ,82.029522 ,22.239443 
11500.000000 ,424.307200 ,79.451705 ,70.280031 ,22.104842 
12000.000000 ,422.624220 ,79.445377 ,46.251876 ,22.119245 
12500.000000 ,425.021010 ,79.439049 ,-70.117342 ,21.619015 
13000.000000 ,423.066680 ,79.432721 ,40.638112 ,21.649398 
13500.000000 ,422.676310 ,79.426393 ,66.262285 ,21.983460 
14000.000000 ,426.596350 ,79.420065 ,41.353864 ,22.185889 
14500.000000 ,426.711270 ,79.413737 ,106.415892 ,22.029402 
15000.000000 ,425.343450 ,79.407409 ,-3.302435 ,22.759404 
15500.000000 ,423.649790 ,79.401081 ,0.716850 ,22.660377 
16000.000000 ,425.090620 ,79.394753 ,83.357072 ,21.892322 
16500.000000 ,427.925190 ,79.388425 ,31.315057 ,21.760400 
17000.000000 ,423.981260 ,79.382097 ,97.266270 ,22.378578 
17500.000000 ,423.670940 ,79.375769 ,-53.635663 ,22.047648 
18000.000000 ,425.386420 ,79.369441 ,56.836411 ,22.622071 
18500.000000 ,425.241930 ,79.363113 ,-5.464988 ,23.131728 
19000.000000 ,428.635020 ,79.356785 ,11.328992 ,22.953481 
19500.000000 ,423.524500 ,79.350457 ,-43.339610 ,23.281238 
20000.000000 ,426.683430 ,79.344129 ,-30.540428 ,22.141499 
20500.000000 ,427.503680 ,79.337801 ,40.385375 ,22.277395 
21000.000000 ,428.710460 ,79.331473 ,28.569111 ,23.095427 
21500.000000 ,428.936470 ,79.325145 ,-27.844752 ,23.616062 
22000.000000 ,426.243160 ,79.318817 ,56.908859 ,23.117204 
22500.000000 ,426.087940 ,79.312489 ,-21.469147 ,23.286219 
23000.000000 ,427.964660 ,79.306161 ,15.035821 ,23.258913 
23500.000000 ,425.646340 ,79.299833 ,-62.443543 ,23.279206 
24000.000000 ,427.807720 ,79.293505 ,10.698039 ,23.283202 
24500.000000 ,427.756830 ,79.287177 ,112.015578 ,23.509574 
25000.000000 ,426.262690 ,79.280849 ,1.536611 ,23.416776 
25500.000000 ,426.387700 ,79.274521 ,9.333836 ,25.171689 
26000.000000 ,426.683360 ,79.268193 ,-58.023751 ,25.428876 
26500.000000 ,425.418240 ,79.261865 ,-1.378866 ,25.271037 
27000.000000 ,427.085090 ,79.255537 ,110.467768 ,25.576279 
27500.000000 ,424.051510 ,79.249209 ,111.414275 ,24.452178 
28000.000000 ,424.280180 ,79.242881 ,22.030472 ,25.102217 
28500.000000 ,425.613410 ,79.236553 ,90.680199 ,25.323853 
29000.000000 ,428.275880 ,79.230225 ,33.510526 ,26.057778 
29500.000000 ,426.037670 ,79.223897 ,45.440512 ,25.970596 
30000.000000 ,423.927090 ,79.217569 ,90.432052 ,26.406355 
30500.000000 ,425.018380 ,79.211241 ,-29.413725 ,26.065784 
31000.000000 ,429.486450 ,79.204913 ,26.280703 ,25.703321 
31500.000000 ,428.039910 ,79.198585 ,23.563677 ,24.984311 
32000.000000 ,426.364380 ,79.192257 ,-5.065859 ,25.715100 
32500.000000 ,424.282510 ,79.185929 ,-12.027662 ,25.351292 
33000.000000 ,423.697990 ,79.179601 ,18.536134 ,26.186830 
33500.000000 ,423.104900 ,79.173274 ,15.641683 ,27.151417 
34000.000000 ,427.467760 ,79.166946 ,87.101228 ,27.552405 
34500.000000 ,427.512930 ,79.160618 ,46.793895 ,28.538527 
35000.000000 ,426.650270 ,79.154290 ,65.770461 ,28.482560 
35500.000000 ,428.709420 ,79.147962 ,51.564709 ,29.579774 
36000.000000 ,424.236140 ,79.141634 ,12.413616 ,29.485829 
36500.000000 ,429.035570 ,79.135306 ,23.170644 ,28.641826 
37000.000000 ,423.755650 ,79.128978 ,-15.397996 ,27.052970 
37500.000000 ,426.936550 ,79.122650 ,23.928082 ,26.912234 
38000.000000 ,426.009040 ,79.116322 ,47.372192 ,27.480086 
38500.000000 ,426.005110 ,79.109994 ,37.772887 ,28.438918 
39000.000000 ,425.865380 ,79.103666 ,9.823418 ,27.738191 
39500.000000 ,426.118020 ,79.097338 ,80.429576 ,27.729839 
40000.000000 ,425.681900 ,79.091010 ,14.738207 ,27.181118 
40500.000000 ,427.242130 ,79.084682 ,-40.320131 ,27.604408 
41000.000000 ,427.245680 ,79.078354 ,10.942844 ,28.009731 
41500.000000 ,426.350160 ,79.072026 ,73.687308 ,27.943773 
42000.000000 ,425.131370 ,79.065698 ,-5.750424 ,28.351601 
42500.000000 ,427.495280 ,79.059370 ,71.448031 ,27.870112 
43000.000000 ,424.596530 ,79.053042 ,66.962166 ,29.289653 
43500.000000 ,425.745390 ,79.046714 ,7.446039 ,28.156834 
44000.000000 ,426.522010 ,79.040386 ,52.123866 ,28.262600 
44500.000000 ,426.833980 ,79.034058 ,-79.295330 ,27.752723 
45000.000000 ,425.602480 ,79.027730 ,34.508064 ,30.007102 
45500.000000 ,425.852950 ,79.021402 ,97.536303 ,31.120298 
46000.000000 ,425.701530 ,79.015074 ,71.514510 ,31.406172 
46500.000000 ,426.843400 ,79.008746 ,-23.276584 ,30.761866 
47000.000000 ,425.248850 ,79.002418 ,39.173622 ,31.249354 
